,date,cloud_cover_total,temperature_air_mean_200,wind_speed
0,2019-01-01 00:00:00+00:00,8.0,7.6,5.1
1,2019-01-01 01:00:00+00:00,8.0,7.1,5.8
2,2019-01-01 02:00:00+00:00,8.0,7.4,6.6
3,2019-01-01 03:00:00+00:00,8.0,7.5,6.4
4,2019-01-01 04:00:00+00:00,8.0,7.4,7.1
5,2019-01-01 05:00:00+00:00,8.0,7.4,7.9
6,2019-01-01 06:00:00+00:00,8.0,7.4,8.4
7,2019-01-01 07:00:00+00:00,8.0,7.2,8.7
8,2019-01-01 08:00:00+00:00,8.0,7.0,8.0
9,2019-01-01 09:00:00+00:00,8.0,7.2,8.1
10,2019-01-01 10:00:00+00:00,8.0,7.7,7.5
11,2019-01-01 11:00:00+00:00,8.0,8.0,6.0
12,2019-01-01 12:00:00+00:00,5.0,8.2,5.9
13,2019-01-01 13:00:00+00:00,5.0,8.3,6.6
14,2019-01-01 14:00:00+00:00,6.0,7.7,7.2
15,2019-01-01 15:00:00+00:00,7.0,7.3,7.0
16,2019-01-01 16:00:00+00:00,6.0,6.2,6.9
17,2019-01-01 17:00:00+00:00,6.0,5.4,7.2
18,2019-01-01 18:00:00+00:00,6.0,5.6,6.4
19,2019-01-01 19:00:00+00:00,7.0,4.7,6.4
20,2019-01-01 20:00:00+00:00,5.0,4.1,5.8
21,2019-01-01 21:00:00+00:00,7.0,4.0,6.9
22,2019-01-01 22:00:00+00:00,7.0,4.5,5.4
23,2019-01-01 23:00:00+00:00,7.0,4.7,6.1
24,2019-01-02 00:00:00+00:00,7.0,4.3,6.1
25,2019-01-02 01:00:00+00:00,7.0,4.3,6.4
26,2019-01-02 02:00:00+00:00,7.0,4.8,4.9
27,2019-01-02 03:00:00+00:00,7.0,5.0,6.3
28,2019-01-02 04:00:00+00:00,7.0,5.8,6.0
29,2019-01-02 05:00:00+00:00,7.0,5.7,6.5
30,2019-01-02 06:00:00+00:00,5.0,5.5,6.8
31,2019-01-02 07:00:00+00:00,5.0,4.5,5.6
32,2019-01-02 08:00:00+00:00,6.0,4.6,4.7
33,2019-01-02 09:00:00+00:00,2.0,4.7,3.6
34,2019-01-02 10:00:00+00:00,2.0,5.2,4.3
35,2019-01-02 11:00:00+00:00,2.0,6.0,5.2
36,2019-01-02 12:00:00+00:00,2.0,6.0,6.8
37,2019-01-02 13:00:00+00:00,1.0,5.7,7.1
38,2019-01-02 14:00:00+00:00,1.0,5.5,5.9
39,2019-01-02 15:00:00+00:00,1.0,4.6,5.3
40,2019-01-02 16:00:00+00:00,1.0,2.8,4.1
41,2019-01-02 17:00:00+00:00,2.0,2.6,2.2
42,2019-01-02 18:00:00+00:00,3.0,-0.9,2.0
43,2019-01-02 19:00:00+00:00,7.0,-0.2,1.2
44,2019-01-02 20:00:00+00:00,5.0,0.3,1.0
45,2019-01-02 21:00:00+00:00,7.0,0.6,1.6
46,2019-01-02 22:00:00+00:00,7.0,0.4,1.6
47,2019-01-02 23:00:00+00:00,5.0,-0.3,1.6
48,2019-01-03 00:00:00+00:00,8.0,1.0,2.3
49,2019-01-03 01:00:00+00:00,8.0,1.4,2.1
50,2019-01-03 02:00:00+00:00,7.0,1.7,1.7
51,2019-01-03 03:00:00+00:00,8.0,2.4,2.7
52,2019-01-03 04:00:00+00:00,8.0,2.1,2.5
53,2019-01-03 05:00:00+00:00,8.0,2.7,3.0
54,2019-01-03 06:00:00+00:00,8.0,2.7,3.2
55,2019-01-03 07:00:00+00:00,7.0,2.9,3.0
56,2019-01-03 08:00:00+00:00,7.0,2.7,2.7
57,2019-01-03 09:00:00+00:00,7.0,2.9,2.6
58,2019-01-03 10:00:00+00:00,7.0,3.4,2.6
59,2019-01-03 11:00:00+00:00,7.0,3.8,3.0
60,2019-01-03 12:00:00+00:00,7.0,4.1,3.1
61,2019-01-03 13:00:00+00:00,7.0,4.2,2.8
62,2019-01-03 14:00:00+00:00,7.0,4.5,2.2
63,2019-01-03 15:00:00+00:00,7.0,4.1,1.7
64,2019-01-03 16:00:00+00:00,7.0,3.9,1.2
65,2019-01-03 17:00:00+00:00,7.0,3.6,1.2
66,2019-01-03 18:00:00+00:00,5.0,2.3,1.4
67,2019-01-03 19:00:00+00:00,6.0,1.7,1.7
68,2019-01-03 20:00:00+00:00,7.0,1.4,1.7
69,2019-01-03 21:00:00+00:00,7.0,1.7,1.5
70,2019-01-03 22:00:00+00:00,7.0,1.3,1.7
71,2019-01-03 23:00:00+00:00,7.0,-1.1,2.0
